Job_ID,Company,Job_name,Location,Applicants,involvement,Level,Employees,Link,Followers,Industry,skills,merged,Company_ID,Details_ID,clusters
J-0,MedTourEasy,R Analyst Trainee,"Bengaluru, Karnataka, India",14,Internship,Internship,350,https://www.linkedin.com/company/medtoureasyy/life/,18054,Hospitals and Health Care,"adaptability,business acumen,communication skills,project management",InternshipInternship14,C-0,D-0,3
J-1,Infoparks Kerala,Immediate hiring - AR Caller,"Kochi, Kerala, India",3,Full-time,Entry level,10001,https://www.linkedin.com/company/infoparkskerala/life/,57465,IT Services and IT Consulting,"analytical and problem solving,communication skills,project management,data analytics,Java,J2EE,Struts,Spring,Hibernate,AJAX,scripting,OOPS,sql",Full-timeEntry level3,C-1,D-1,3
J-2,Infoparks Kerala,QA Tester - Manual and Automation,"Kochi, Kerala, India",18,Full-time,Entry level,10001,https://www.linkedin.com/company/infoparkskerala/life/,57465,IT Services and IT Consulting,"analytical and problem solving,communication skills,project management,data analytics,Java,J2EE,Struts,Spring,Hibernate,AJAX,scripting,OOPS,sql",Full-timeEntry level18,C-1,D-2,3
J-3,GE Healthcare,Software Engineer,"Bengaluru, Karnataka, India",46,Full-time,Entry level,10001,https://www.linkedin.com/company/gehealthcare/life/,1897527,Hospitals and Health Care,"analytical and problem solving,collaboration,communication skills,data analytics,machine learning,python,scripting,business acumen,Java",Full-timeEntry level46,C-2,D-3,0
J-4,Qualcomm,"Engineer, Staff","Hyderabad, Telangana, India",11,Full-time,Entry level,10001,https://www.linkedin.com/company/qualcomm/life/,1156557,Wireless Services,"analytical and problem solving,machine learning,sem,data analytics,scripting,PyTorch,TensorFlow,Keras,python",Full-timeEntry level11,C-3,D-4,0
J-5,Infoparks Kerala,Software Tester,"Kochi, Kerala, India",19,Full-time,Entry level,10001,https://www.linkedin.com/company/infoparkskerala/life/,57465,IT Services and IT Consulting,"analytical and problem solving,communication skills,project management,data analytics,Java,J2EE,Struts,Spring,Hibernate,AJAX,scripting,OOPS,sql",Full-timeEntry level19,C-1,D-5,3
J-6,Qualcomm,"Engineer, Staff","Hyderabad, Telangana, India",31,Full-time,Part-time,10001,https://www.linkedin.com/company/qualcomm/life/,1156557,Wireless Services,"analytical and problem solving,sem,data analytics",Full-timePart-time31,C-3,D-6,0
J-7,Global Savings Group,Sr. QA Engineer/ Lead,"Bengaluru, Karnataka, India",51,Full-time,Mid-Senior level,10001,https://www.linkedin.com/company/global-savings-group/life/,11447,"Technology, Information and Internet","analytical and problem solving,communication skills,positive attitude,data analytics,Java,scripting,nosql,python,sql",Full-timeMid-Senior level51,C-4,D-7,3
J-8,Barclays,Process Expert,"Chennai, Tamildu, India",5,Full-time,Associate,10001,https://www.linkedin.com/company/barclays-bank/life/,1312733,Financial Services,"attention to detail,data analytics,time management,ms office,sql",Full-timeAssociate5,C-5,D-8,0
J-9,Goldman Sachs,Software Engineering - Internal Audit,"Bengaluru, Karnataka, India",12,Full-time,Mid-Senior level,10001,https://www.linkedin.com/company/goldman-sachs/life/,3570127,Financial Services,"attention to detail,collaboration,communication skills,machine learning,data analytics,Java,Spring,Hibernate,scripting,sql",Full-timeMid-Senior level12,C-6,D-9,2
